mode,task,position_mode,num_layers,conv_kernel_size,checkpoint,evaluation,T,n,token_correct,string_correct,token_acc,string_acc,digit_errors
selective-copying,selective-copying,none,2,4,final,standard,192,256,2195,62,0.857421875,0.2421875,"[0, 0, 3, 18, 38, 93, 113, 72, 22, 6]"
selective-copying,selective-copying,none,2,4,final,standard,256,256,2115,35,0.826171875,0.13671875,"[0, 1, 5, 24, 51, 113, 119, 86, 44, 2]"
selective-copying,selective-copying,none,2,4,final,standard,384,256,2233,72,0.872265625,0.28125,"[0, 0, 4, 27, 47, 92, 91, 51, 13, 2]"
selective-copying,selective-copying,none,2,4,final,standard,512,256,2173,52,0.848828125,0.203125,"[0, 0, 5, 27, 45, 106, 119, 62, 20, 3]"
selective-copying,selective-copying,none,2,4,final,standard,768,256,2148,45,0.8390625,0.17578125,"[0, 1, 5, 15, 42, 100, 118, 96, 28, 7]"
selective-copying,selective-copying,none,2,4,final,standard,1024,256,2011,19,0.785546875,0.07421875,"[0, 0, 5, 27, 69, 120, 126, 117, 67, 18]"
selective-copying,selective-copying,none,2,4,final,standard,1536,256,2148,52,0.8390625,0.203125,"[0, 0, 8, 29, 58, 115, 104, 70, 21, 7]"
selective-copying,selective-copying,none,2,4,final,standard,2048,256,2062,30,0.80546875,0.1171875,"[0, 1, 7, 19, 64, 123, 119, 102, 49, 14]"
selective-copying,selective-copying,none,2,4,final,standard,3072,256,2054,29,0.80234375,0.11328125,"[0, 0, 6, 12, 44, 115, 139, 117, 54, 19]"
selective-copying,selective-copying,none,2,4,final,standard,4096,256,1922,11,0.75078125,0.04296875,"[0, 1, 11, 24, 70, 131, 132, 134, 111, 24]"
selective-copying,selective-copying,none,2,4,final,standard,6144,256,2007,19,0.783984375,0.07421875,"[0, 2, 14, 43, 70, 122, 128, 93, 59, 22]"
selective-copying,selective-copying,none,2,4,final,standard,8192,256,1830,11,0.71484375,0.04296875,"[0, 0, 29, 48, 85, 144, 140, 151, 90, 43]"
selective-copying,selective-copying,none,2,4,final,standard,12288,256,1762,11,0.68828125,0.04296875,"[0, 8, 31, 56, 98, 156, 153, 148, 88, 60]"
selective-copying,selective-copying,none,2,4,final,standard,16384,256,1667,3,0.651171875,0.01171875,"[2, 10, 32, 69, 115, 159, 172, 152, 134, 48]"
selective-copying,selective-copying,none,2,4,final,standard,24576,256,1695,3,0.662109375,0.01171875,"[6, 23, 51, 82, 130, 145, 143, 153, 93, 39]"
selective-copying,selective-copying,none,2,4,final,standard,32768,256,1571,2,0.613671875,0.0078125,"[9, 20, 55, 76, 127, 168, 178, 168, 120, 68]"
selective-copying,selective-copying,none,2,4,final,standard,49152,256,1481,0,0.578515625,0.0,"[7, 28, 74, 89, 151, 178, 184, 179, 114, 75]"
selective-copying,selective-copying,none,2,4,final,standard,65536,256,1315,0,0.513671875,0.0,"[24, 44, 99, 96, 152, 179, 179, 191, 165, 116]"
selective-copying,selective-copying,none,2,4,final,standard,98304,256,1338,0,0.52265625,0.0,"[44, 57, 121, 125, 166, 171, 180, 178, 119, 61]"
selective-copying,selective-copying,none,2,4,final,standard,131072,256,1235,0,0.482421875,0.0,"[51, 59, 108, 126, 172, 184, 192, 193, 151, 89]"
