mode,precision,layer,depth,head,query_cosine_d5,memory_raw_logit,memory_effective_logit,memory_vs_max_other,memory_attention_weight,fixed_d5_query_content_logit,fixed_d5_query_memory_minus_blank_logit
combined-no-decay,bf16,1,5,7,1.0,1.2514041662216187,1.5984739065170288,-46.11399459838867,0.08419065922498703,1.2517033212882325,-0.6074610952456624
combined-no-decay,bf16,0,6,0,1.0,-0.041656494140625,0.36785888671875,-4.609977722167969,0.007086837198585272,-0.041630017454735935,-0.01435516297351569
combined-no-decay,bf16,0,6,1,1.0000000000000002,-4.9736328125,-6.349609375,-32.524940490722656,7.347938446936042e-13,-4.97323512728326,-1.6458381188567728
combined-no-decay,bf16,0,6,2,1.0000000000000002,0.28662109375,0.0694122314453125,-0.2602628767490387,0.32132941484451294,0.2864129403606057,-0.005468576215207577
combined-no-decay,bf16,0,6,3,1.0,-7.931640625,-7.208984375,-9.377734184265137,0.0010422288905829191,-7.930588029325008,-0.10782470554113388
combined-no-decay,bf16,0,6,4,1.0000000000000002,-1.3203125,0.0186767578125,-5.443823337554932,0.2999946177005768,-1.3176729455590248,-0.037245847284793854
combined-no-decay,bf16,0,6,5,1.0000000000000002,-8.69921875,-8.38671875,-11.166406631469727,9.722740287543274e-06,-8.692359417676926,-0.01352044939994812
combined-no-decay,bf16,0,6,6,1.0000000000000002,-0.215576171875,-0.216064453125,-0.387939453125,0.26707249879837036,-0.21564721688628197,0.009962622076272964
combined-no-decay,bf16,0,6,7,0.9999999999999998,-0.5125732421875,0.8623046875,-8.025195121765137,0.30000001192092896,-0.5130679532885551,-0.010425977408885956
combined-no-decay,bf16,1,6,0,0.9999774861311714,3.141108274459839,1.9089523553848267,-1.5363601446151733,0.4000099301338196,3.1507617243914865,8.98293940400472
combined-no-decay,bf16,1,6,1,0.9999803785220538,3.09993577003479,3.3970260620117188,-29.42913246154785,0.30000001192092896,3.1304949651064815,8.431953591533238
combined-no-decay,bf16,1,6,2,0.9999921004473169,1.6312713623046875,1.9843876361846924,-0.32340937852859497,0.49836498498916626,1.6324027586961165,6.184773137816228
combined-no-decay,bf16,1,6,3,0.9999798125303148,-17.545703887939453,-15.068944931030273,-153.6033172607422,0.0,-17.48797912655864,-7.464339426741935
combined-no-decay,bf16,1,6,4,0.9999939030490381,11.898633003234863,11.487890243530273,30.263086318969727,1.0,11.876538330045879,16.327934078345425
combined-no-decay,bf16,1,6,5,0.9999931823555684,-3.6316559314727783,-1.7479537725448608,-100.91276550292969,0.20000000298023224,-3.6401614467380567,-0.363068227074109
combined-no-decay,bf16,1,6,6,0.999988728473145,-1.5976715087890625,-3.1267566680908203,-6.096780300140381,0.4996325373649597,-1.593848136213819,16.121407786651798
combined-no-decay,bf16,1,6,7,0.9999894675697167,-0.08146343380212784,0.26620712876319885,-47.51418685913086,0.060830555856227875,-0.08103091343073174,-0.7627926622400991
combined-no-decay,bf16,0,7,0,1.0,-0.03021240234375,0.3804931640625,-4.597343444824219,0.007168102078139782,-0.030237024649977684,-0.0025101806968450546
combined-no-decay,bf16,0,7,1,1.0000000000000002,-4.021484375,-5.400390625,-31.57572364807129,9.953412876892442e-13,-4.023725313221803,-0.9527541818970349
combined-no-decay,bf16,0,7,2,1.0000000000000002,0.272705078125,0.0551605224609375,-0.2745145857334137,0.3186742663383484,0.27224410045892,0.00046004820615053177
combined-no-decay,bf16,0,7,3,1.0,-7.181640625,-6.45703125,-8.625781059265137,0.0019938189070671797,-7.185551851987839,0.080049067735672
combined-no-decay,bf16,0,7,4,1.0000000000000002,-1.0546875,0.2890625,-5.173437595367432,0.29999732971191406,-1.051433525979519,0.018135666847229004
combined-no-decay,bf16,0,7,5,1.0000000000000002,-8.5,-8.1875,-10.967187881469727,1.1854502190544736e-05,-8.496608182787895,0.0038436204195022583
combined-no-decay,bf16,0,7,6,1.0000000000000002,-0.150390625,-0.1510009765625,-0.3228759765625,0.27895426750183105,-0.15050289407372475,0.00020828470587730408
combined-no-decay,bf16,0,7,7,0.9999999999999998,-0.5498046875,0.823486328125,-8.064013481140137,0.30000001192092896,-0.5505839502438903,0.001844116486608982
combined-no-decay,bf16,1,7,0,0.9998852611808513,2.356860399246216,1.1198241710662842,-2.40673828125,0.40000924468040466,2.3928281014435924,8.040050294029061
combined-no-decay,bf16,1,7,1,0.9998900854418405,-1.0345863103866577,-0.7297607660293579,-33.73847198486328,0.30000001192092896,-0.9540700618643314,4.00907851732336
combined-no-decay,bf16,1,7,2,0.9999667287275201,5.386914253234863,5.739453315734863,3.52824330329895,0.4997790455818176,5.367892302558175,9.910480760209612
combined-no-decay,bf16,1,7,3,0.99989162375552,-9.746438980102539,-7.243438720703125,-145.86219787597656,3.2369994525903274e-43,-9.605570650100708,0.05153066068887711
