mode,precision,layer,depth,quantity,raw_norm,signal_norm,signal_norm_ratio_d2,signal_cosine_d2,signal_cosine_previous,transform_cosine_pre_post
combined-no-decay,bf16,1,5,v,53.08320141132856,52.38574479975375,0.9394142386748197,0.37838866513459796,0.5177611971536558,0.5254072779520843
combined-no-decay,bf16,0,6,k,16.80021067989231,4.392315217290839,0.0694709074054516,0.034017805640873866,0.44554765958668535,0.3217437867071695
combined-no-decay,bf16,0,6,v,29.069754886044514,3.9759395433498357,0.06811543640607054,0.0624614171859121,0.07981054444423671,0.0053316769980266375
combined-no-decay,bf16,1,6,k,39.76525112909726,48.30016723896284,0.8273771653427276,0.37434260741077274,0.502706626845516,0.5216016567328303
combined-no-decay,bf16,1,6,v,52.74279438268199,52.16708647023438,0.9354423118625829,0.2948421561084087,0.5292618294870992,0.5308542500286526
combined-no-decay,bf16,0,7,k,15.20584204889266,2.3767381834520176,0.03720202105615481,0.031586575879548086,0.5997730638497133,0.5455392496723487
combined-no-decay,bf16,0,7,v,27.22483677136602,2.1614290866667787,0.036354901901249445,0.020855488603663444,0.36866236444526157,0.3047031798319396
combined-no-decay,bf16,1,7,k,34.177584785578944,41.52939645320771,0.715311532118013,0.3024966133758369,0.44327849861116503,0.49074164964015166
combined-no-decay,bf16,1,7,v,46.845572405819446,46.29708237495406,0.8304559972836298,0.18345522883856202,0.47436291304165046,0.5187946685575543
combined-no-decay,bf16,0,8,k,14.1755761605962,1.5263316876848398,0.02365542063366604,0.04276730908299292,0.7032659893018179,0.67180912831444
combined-no-decay,bf16,0,8,v,25.80347306342321,1.3628113093252316,0.02256870582153688,0.06366392268202677,0.540473225236102,0.5101715393725879
combined-no-decay,bf16,1,8,k,33.61055010005086,38.99370551213539,0.6717423626638379,0.2833550839282385,0.5106642301249664,0.5434043568898344
combined-no-decay,bf16,1,8,v,46.62542892422386,46.097152072827214,0.8268606816315004,0.17858745578187732,0.5196270885401858,0.5224056183253017
combined-no-decay,fp32,0,2,k,64.20164511711273,60.15974268566984,1.0,1.0,1.0,-0.008130726306203597
combined-no-decay,fp32,0,2,v,64.3338596612319,54.998916614926046,1.0,1.0,1.0,0.04570416379517252
combined-no-decay,fp32,1,2,k,46.80962501998865,58.80124912393774,1.0,1.0,1.0,0.4592719297859441
combined-no-decay,fp32,1,2,v,56.644299642333785,55.99594133838953,1.0,1.0,1.0,0.22609712216480032
combined-no-decay,fp32,0,3,k,39.97755671237502,34.15135824687272,0.5481401895596826,0.10282520316864059,0.10282520316864059,0.14356536401557618
combined-no-decay,fp32,0,3,v,44.681977255464645,30.00159370314782,0.53135263286916,0.0850642185305251,0.0850642185305251,0.11465613213283792
combined-no-decay,fp32,1,3,k,42.213523200521145,52.195146229085466,0.8873918263908768,0.5412246095537789,0.5412246095537789,0.5816548380730178
combined-no-decay,fp32,1,3,v,54.23577511659355,53.284542776774146,0.951629602462654,0.4859822089195561,0.4859822089195561,0.5069391916144769
combined-no-decay,fp32,0,4,k,32.861429603446695,26.84545595905258,0.41991131553957683,0.04918728630656781,0.16922879398040536,0.16766983794102108
combined-no-decay,fp32,0,4,v,39.67374214486331,23.249806883088407,0.40394314876398607,0.09351814636725242,0.08877140138415016,0.09962511217231798
combined-no-decay,fp32,1,4,k,41.482500415889845,49.44445340127999,0.8403972214401029,0.461667080226317,0.5564150600257288,0.5682530833752439
