precision,layer,head,depth,identity_distance_fro_normalized,orthogonality_max_abs,first_child_cosine_before_after_U0
fp32,1,2,5,1.410571229213448,5.551115123125783e-16,0.32629434062679596
fp32,1,2,6,1.410571229213448,5.551115123125783e-16,0.3262975976330317
fp32,1,2,7,1.410571229213448,5.551115123125783e-16,0.32630394742697333
fp32,1,2,8,1.410571229213448,5.551115123125783e-16,0.3263499362646622
fp32,1,3,2,1.4108396056058525,6.661338147750939e-16,0.11303140378032064
fp32,1,3,3,1.4108396056058525,6.661338147750939e-16,0.4719494263904735
fp32,1,3,4,1.4108396056058525,6.661338147750939e-16,0.47247764838978346
fp32,1,3,5,1.4108396056058525,6.661338147750939e-16,0.4792122798311439
fp32,1,3,6,1.4108396056058525,6.661338147750939e-16,0.556429744023796
fp32,1,3,7,1.4108396056058525,6.661338147750939e-16,0.6310283347676187
fp32,1,3,8,1.4108396056058525,6.661338147750939e-16,0.923839796218185
fp32,1,4,2,1.4042293957709897,4.440892098500626e-16,0.03808544689078022
fp32,1,4,3,1.4042293957709897,4.440892098500626e-16,0.7121166132747514
fp32,1,4,4,1.4042293957709897,4.440892098500626e-16,0.7121166146680192
